pk_comment,text,created,created_at_utc,content_type,codex,code_id,like_count,comment_count,carousel_media_count,view_count,video_duration
2872299266498084533,"¡Que ruede el balón! ⚽ Y esta vez en el Virtual Soccer donde podrás escoger la liga que más te apasione y conocer las estadísticas de los equipos y escoger uno que te haga ganar como los dioses. 🙌 Y lo mejor de todo, los resultados salen en ¡73 segundos! 😱",2022-06-30 21:33:11,2022-06-30 21:33:11,comment,https://www.instagram.com/p/CfcdPb8O761/,2872299266498084533_46970916673,8,2,0,129,17.166
2872238099058645864,¡El canto de las sirenas conduce al oro! 💰 Juega el Mermaid Pays en Olimpo.bet y gana como los dioses desde donde estés. 🙌 En nuestra sección de casino online podrás encontrar este y muchos juegos más que te harán ganar como un rayo. ⚡,2022-06-30 19:31:39,2022-06-30 19:31:39,comment,https://www.instagram.com/p/CfcPVVUu9to/,2872238099058645864_46970916673,7,0,0,61,14.633
2872146794831288565,"¡Partido apostable! 😱 Fortaleza está haciendo un campañón en la #Libertadores y quiere seguir avanzando de fase pero al frente tendrá a Estudiantes de La Plata,  el pincha sabe lo que es ganar la copa en más de una ocasión. ¿A quién le vas? 👇

30/06 - 19:30 PM 👉🏽 Fortaleza vs Estudiantes de La Plata ⚽

#copalibertadores #fúbtol #perú",2022-06-30 16:30:01,2022-06-30 16:30:01,comment,https://www.instagram.com/p/Cfb6kroshj1/,2872146794831288565_46970916673,8,0,0,0,0.0
2871638164444864533,"Si eres fan del deporte de la raqueta, este juegazo es para ti. 🎾 El Virtual Tennis te hará ganar como los dioses con sus múltiples mercados en un mismo evento. 😱 Además, no tendrás que esperar demasiado tiempo como en la vida real para saber los resultados. ¿Ya lo probaste? 🔥",2022-06-29 23:40:17,2022-06-29 23:40:17,comment,https://www.instagram.com/p/CfaG7IrMOAV/,2871638164444864533_46970916673,6,0,0,96,16.833
2871558151485664139,"El #Mundial está a la vuelta de la esquina y mucho se habla del favorito para campeón, goleador y mejor jugador. 🥇 Sin embargo, en Olimpo.bet puedes ganar como los dioses con el ‘cerebro‘ que tomará las mejores decisiones en el campo para asistir a sus compañeros. 🧠⚽ ¿Tienes tus favoritos a mayor asistente de la Copa? Coméntanos aquí. 👇",2022-06-29 21:02:41,2022-06-29 21:02:41,comment,https://www.instagram.com/p/CfZ0uyzLiuL/,2871558151485664139_46970916673,12,0,0,0,0.0
2871498036825270660,"Melgar tiene una cita con la historia en la #Sudamericana, 🏆 y en Olimpo.bet te jugamos los Datazos de Zeuzinho para este partido por octavos de final que pueden hacerte ganar como los dioses. ¿Le tienes fe? 🔥👇

#copasudamericana  #melgar #fútbol #perú #arequipa",2022-06-29 19:01:04,2022-06-29 19:01:04,comment,https://www.instagram.com/p/CfZnEAqM6mE/,2871498036825270660_46970916673,12,0,4,0,0.0
2871441390912554245,"Etiqueta 👇 a esa persona que siempre tiene las fijas y que te dé ese pronóstico que te falta para jugar y ganar como los dioses en Olimpo.bet 🔥

#copasudamericana #melgar #fútbol #perú #arequipa",2022-06-29 17:08:31,2022-06-29 17:08:31,comment,https://www.instagram.com/p/CfZaLtCskUF/,2871441390912554245_46970916673,16,0,0,0,0.0
2870980645593647197,¿Listo para ganar como los dioses este feriado en casa? ¡Gana una fortuna con Fortune House! 🤑 Uno de los mejores juegos de Casino online te espera en Olimpo.bet ⚡,2022-06-29 01:53:20,2022-06-29 01:53:20,comment,https://www.instagram.com/p/CfXxa-hoYhd/,2870980645593647197_46970916673,8,0,0,185,20.733
2870699265509894506,"¡Llegó el momento de demostrar, Melgar! 🖤❤ El único representante peruano en la #Sudamericana buscará ganar y dar el golpe cuando visite al favorito Deportivo Cali. 🔥 El Dominó viene embalado en el torneo local y espera seguir haciendo historia en esta copa. ¿Lo logrará? 🏆

#copasudamericana #melgar #fútbol #perú #arequipa",2022-06-28 16:34:03,2022-06-28 16:34:03,comment,https://www.instagram.com/p/CfWxcW5sSlq/,2870699265509894506_46970916673,22,0,0,0,0.0
2870167996904568665,"Días decisivos para el ‘Tigre’. 💥 Después de clasificar a Rusia 2018 y pelear el repechaje para Qatar 2022, Ricardo Gareca recibió la propuesta de renovación por parte de la FPF, sin embargo, todo puede pasar en estos días. 😱 ¿El argentino seguirá en la selección? 🇵🇪 Coméntanos aquí si crees que renueva o será el adiós definitivo. 👇

#perú #fútbol #blanquirroja #arribaperú #seleccionperuana #gareca",2022-06-28 01:17:48,2022-06-28 01:17:48,comment,https://www.instagram.com/p/CfU4pYdMPdZ/,2870167996904568665_46970916673,74,7,0,0,0.0
